depth_cm,age_yrBP,age_error,method,material
0,0,5,210Pb,泥炭表层
5,50,8,210Pb,植物残体
10,110,12,210Pb,植物残体
20,220,20,210Pb/137Cs,植物残体
30,380,30,14C-AMS,植物残体
50,680,40,14C-AMS,种子
80,1150,50,14C-AMS,植物残体
100,1650,60,14C-AMS,木炭
130,2300,70,14C-AMS,植物残体
160,3000,80,14C-AMS,种子
200,3900,90,14C-AMS,植物残体
240,4800,100,14C-AMS,木炭
280,5600,110,14C-AMS,植物残体
320,6500,120,14C-AMS,种子
360,7600,130,14C-AMS,植物残体
400,8800,140,14C-AMS,木炭
450,10200,160,14C-AMS,植物残体
500,11800,180,14C-AMS,植物残体
550,14000,200,14C-AMS,沉积物
600,17000,250,14C-AMS,有机质
